Win Num 1,Win Num 2,Win Num 3,Win Num 4,Win Num 5
9,36,44,53,59
8,13,43,56,60
5,16,21,33,47
15,22,51,52,58
1,4,10,28,33
8,10,25,28,31
11,13,23,54,55
11,12,31,54,59
9,19,34,37,49
8,9,22,46,51
4,6,11,24,31
5,20,35,43,48
6,15,31,51,53
13,25,26,32,58
17,21,36,48,60
3,18,38,40,49
5,10,33,48,57
3,11,34,46,60
6,10,29,44,57
11,24,40,43,47
6,8,34,40,59
12,24,27,38,49
9,21,27,45,53
3,21,28,32,56
1,17,23,44,45
12,44,56,58,59
3,5,9,32,56
5,10,11,24,28
28,39,40,53,54
9,11,28,30,41
19,36,37,43,50
23,34,35,44,52
16,30,37,52,55
23,26,32,50,57
10,13,49,54,57
12,13,20,28,45
8,16,43,52,59
9,22,24,36,54
6,9,28,40,41
19,22,29,38,53
3,27,28,49,52
3,7,14,20,32
7,21,30,53,55
7,8,16,49,56
8,23,37,38,58
2,40,46,59,60
8,25,26,33,56
9,30,43,51,55
4,7,33,50,55
1,15,21,41,60
4,11,14,46,59
12,22,27,35,49
8,22,31,38,40
20,22,26,27,43
3,17,30,50,55
5,14,22,37,60
8,9,35,37,41
13,19,20,21,35
12,23,29,38,43
16,28,38,43,45
1,5,11,39,47
12,15,22,25,27
18,29,47,52,53
8,11,35,47,60
1,20,24,46,57
8,24,28,57,60
4,8,17,20,21
14,17,38,40,45
9,17,36,38,53
6,11,32,56,60
6,26,35,40,43
18,43,51,52,60
1,14,20,21,43
3,16,20,38,49
8,23,27,38,47
10,22,46,47,48
19,34,35,54,57
3,6,17,47,48
12,18,33,44,46
2,12,28,51,54
18,26,28,35,36
6,35,36,47,53
9,23,43,45,52
15,22,29,34,37
2,16,20,25,50
5,7,27,43,50
7,17,26,34,60
1,6,11,13,23
35,36,37,53,56
3,12,30,40,56
13,14,29,46,47
9,26,29,46,58
3,5,21,30,60
4,11,44,47,53
7,8,14,18,52
6,28,34,39,43
16,30,35,38,51
18,22,24,29,56
15,40,48,59,60
8,25,28,33,47
7,10,23,37,56
4,9,32,41,43
33,39,43,49,52
17,24,43,49,57
10,14,16,32,34
1,2,14,29,59
5,26,27,51,59
3,26,27,29,58
1,19,37,49,56
18,19,31,43,54
3,10,30,33,40
19,34,36,54,55
5,23,27,55,57
22,29,47,53,54
10,29,47,48,55
8,26,28,41,52
3,5,36,43,53
15,16,26,27,51
25,29,30,38,39
4,5,24,31,42
2,7,11,33,47
8,12,50,51,56
5,19,21,24,27
6,14,25,39,56
2,19,35,37,44
5,29,37,55,58
12,15,44,45,47
20,33,46,49,51
4,21,26,45,46
11,16,50,55,56
3,7,14,19,25
14,15,17,35,56
17,27,39,44,49
14,17,29,39,50
1,25,29,43,54
25,37,39,47,55
8,20,34,41,43
25,27,28,42,53
28,30,36,38,39
7,11,39,40,45
4,8,31,46,54
5,18,45,52,57
17,20,45,49,58
10,31,32,34,51
1,7,12,34,44
13,20,25,31,51
6,9,11,27,37
6,41,44,49,56
6,20,28,34,40
2,7,21,38,48
4,21,42,43,59
13,23,43,47,59
4,7,8,19,53
8,10,27,37,39
3,5,36,40,44
10,47,48,53,58
46,50,56,57,58
26,49,52,54,56
9,27,33,40,49
5,19,36,41,55
7,11,16,23,24
1,5,24,47,55
8,19,25,51,52
14,31,37,54,56
4,20,30,34,36
23,27,29,36,60
14,17,39,43,51
11,13,36,46,48
19,24,38,55,56
4,5,15,25,59
2,9,22,43,44
8,12,23,40,54
13,23,48,57,59
6,31,35,40,55
2,9,30,37,42
21,24,37,38,49
8,9,10,11,27
2,16,19,33,39
3,17,26,47,58
7,13,35,40,45
9,21,24,37,38
6,12,21,40,57
17,28,37,38,41
11,16,34,44,56
13,30,41,50,55
17,24,30,45,48
20,33,49,53,56
9,17,28,38,45
5,26,32,36,58
2,11,32,50,54
15,30,34,38,55
24,25,48,55,56
6,25,29,33,44
6,12,20,40,53
2,18,27,52,57
4,14,22,47,58
10,14,30,55,56
17,18,30,43,49
20,23,38,48,56
4,13,15,16,32
4,20,25,32,45
10,18,37,40,57
4,19,26,33,58
4,13,26,34,43
5,7,27,28,36
18,28,30,31,37
18,25,35,41,57
1,4,12,33,41
35,40,51,55,60
3,17,22,57,59
1,12,14,32,60
1,9,36,38,46
2,3,9,27,37
4,9,10,31,34
2,15,17,18,52
4,8,26,41,55
16,20,25,27,43
3,8,11,24,25
13,45,51,58,60
1,4,18,29,32
11,12,23,26,43
13,19,32,36,41
32,34,36,39,46
8,22,41,54,56
4,7,8,12,23
3,34,44,53,55
13,40,48,50,57
7,24,25,56,58
8,12,22,56,58
10,17,24,47,59
5,21,25,31,55
17,45,46,51,53
16,19,40,41,43
3,7,22,37,60
1,32,39,55,58
11,20,54,59,60
19,40,49,54,56
1,3,24,42,59
36,44,50,54,60
13,25,39,51,55
5,48,49,52,58
5,7,9,12,43
11,35,38,45,58
3,19,21,26,43
4,16,35,37,55
6,38,40,48,57
1,2,20,40,55
15,16,19,37,40
17,25,38,41,58
5,10,29,37,59
9,11,20,37,60
6,7,17,20,44
3,10,20,30,43
6,30,32,35,48
8,11,37,41,54
4,24,25,32,46
22,32,42,45,49
17,23,30,49,55
5,6,19,22,45
8,28,29,49,57
14,19,48,53,54
5,7,21,44,57
1,8,16,22,47
14,19,32,38,43
4,12,29,31,36
11,16,19,29,34
26,31,37,38,41
5,18,42,44,46
21,28,31,44,51
6,32,37,50,56
3,15,16,19,26
14,32,37,43,45
16,24,32,44,48
1,14,25,40,59
11,20,31,34,51
13,20,24,37,58
6,24,48,54,59
2,28,37,38,48
17,18,24,25,41
8,12,19,35,42
13,16,23,37,48
3,24,38,43,52
6,19,28,57,60
3,7,11,30,42
1,5,14,22,50
1,8,23,56,58
13,16,17,24,50
13,14,36,48,57
13,22,41,46,56
2,28,30,39,53
32,42,58,59,60
24,38,40,44,49
12,15,28,46,57
4,6,17,48,53
20,22,37,55,56
17,19,49,50,56
5,9,12,33,46
22,23,37,56,60
19,33,35,36,48
2,20,27,29,53
7,19,23,24,40
1,2,17,24,38
22,34,42,46,57
6,20,30,34,36
2,27,28,34,39
4,29,30,55,58
4,6,25,31,47
6,7,13,16,30
18,22,23,25,49
5,9,46,55,58
3,29,32,48,56
24,27,43,50,60
10,11,44,53,57
1,9,17,26,55
2,10,15,33,58
31,40,45,54,57
8,33,39,40,49
7,8,13,18,48
4,28,40,41,48
4,9,39,44,52
13,19,34,38,53
6,17,32,45,59
8,17,27,28,39
26,37,40,42,50
7,20,21,41,59
32,37,38,42,43
7,9,47,54,60
9,12,19,29,34
6,20,25,32,50
4,5,28,33,42
8,20,31,36,39
11,15,21,23,58
7,8,12,35,39
2,4,32,57,60
4,9,20,42,46
30,34,36,56,59
2,11,20,36,46
2,5,7,55,57
26,34,42,48,57
5,12,13,41,44
4,21,26,35,42
4,16,18,32,47
7,26,53,55,56
16,31,34,50,60
10,35,38,48,57
12,14,31,38,41
18,20,38,42,44
12,33,41,45,60
3,11,32,49,55
15,16,39,41,46
16,31,34,41,57
3,12,17,27,55
6,22,23,36,42
14,43,55,57,60
4,10,22,24,42
3,12,30,39,60
9,17,21,29,58
15,16,19,42,52
3,4,22,38,59
4,33,56,58,59
25,27,42,50,57
2,5,18,23,59
16,17,46,51,52
2,5,39,54,56
2,16,30,40,53
7,24,32,44,52
8,9,12,21,45
1,9,25,37,60
2,18,34,42,57
9,14,24,41,46
12,18,20,31,38
12,22,42,43,53
3,11,44,47,58
18,22,23,41,53
12,25,31,33,58
26,36,42,58,60
1,5,10,28,57
1,6,24,41,44
6,11,14,16,52
10,20,21,25,52
30,36,39,55,60
9,37,47,51,55
1,5,17,21,33
1,43,44,53,54
10,16,23,31,53
26,28,38,47,51
29,31,40,45,59
5,6,7,12,36
1,47,52,54,58
6,34,36,44,55
5,29,35,36,49
11,12,31,49,59
3,26,30,51,53
2,8,15,40,41
2,9,23,47,54
34,35,36,46,58
7,12,21,24,40
3,10,21,24,59
10,19,29,45,48
2,6,14,22,40
8,11,15,26,50
4,15,28,35,42
16,21,22,47,52
7,32,33,36,59
2,11,14,45,49
2,7,11,30,59
4,15,19,22,51
11,36,41,43,48
1,4,6,13,32
8,40,41,43,51
8,18,22,37,44
5,13,35,49,56
13,29,31,34,47
1,28,42,47,55
4,13,30,38,53
17,22,38,42,45
14,32,33,43,55
12,14,24,27,55
4,27,28,40,59
3,13,16,17,24
12,33,37,55,58
4,13,24,53,59
16,21,28,31,44
9,12,16,20,60
1,20,28,48,56
17,18,45,46,55
9,12,20,38,52
4,13,25,27,58
2,20,33,38,45
21,45,48,51,58
1,10,14,29,30
13,50,53,58,60
1,24,26,48,60
7,9,17,39,58
9,25,28,29,48
6,23,27,45,54
5,23,26,31,51
18,22,30,35,53
5,45,50,52,53
19,22,24,31,37
6,11,13,32,38
8,13,19,41,42
21,26,42,51,59
12,13,26,43,54
26,32,47,49,51
7,19,22,37,49
21,25,34,38,42
2,21,31,36,52
6,8,26,34,42
11,26,30,41,45
21,27,46,51,53
21,23,31,55,57
7,8,16,20,44
1,11,19,24,46
27,33,34,42,43
7,23,25,35,38
3,11,32,51,56
19,39,40,47,60
31,35,42,44,52
4,15,44,51,52
15,24,36,37,41
14,16,28,46,49
18,24,41,43,55
18,32,35,52,58
29,41,48,52,57
5,30,40,58,60
28,32,35,42,48
11,28,41,47,53
4,11,18,23,47
9,19,21,44,50
4,29,30,40,47
3,28,31,37,40
1,7,36,50,52
18,28,39,46,54
5,9,25,33,55
20,27,34,57,59
5,44,45,47,54
17,18,42,50,57
1,22,23,29,52
4,8,27,28,32
13,34,36,49,55
22,24,26,42,51
14,16,26,39,56
3,17,33,39,40
20,28,50,51,60
1,2,39,50,60
7,10,21,33,48
1,37,39,48,54
3,4,34,38,39
18,24,42,55,58
3,15,18,21,35
6,9,45,49,55
7,14,20,38,58
12,17,18,38,46
11,13,32,51,55
11,26,39,49,50
15,21,27,31,52
17,25,33,47,51
4,6,21,37,58
2,37,43,48,51
3,6,8,9,35
3,11,23,34,36
6,9,34,37,43
3,13,19,36,50
22,30,33,49,55
17,20,24,33,57
37,47,52,55,60
1,21,24,30,35
6,10,16,36,45
32,34,47,48,51
12,22,27,43,46
27,29,39,42,50
1,36,45,53,56
4,11,14,20,24
34,38,40,41,49
22,24,33,36,51
2,23,40,51,59
17,25,45,53,59
6,16,27,41,58
25,28,38,40,48
13,27,32,35,40
31,36,45,46,59
34,43,45,56,57
7,10,18,21,28
11,14,17,28,39
8,32,34,45,51
5,10,41,53,54
6,8,51,55,57
2,9,18,25,51
15,39,40,43,53
1,5,28,32,53
4,24,34,39,55
7,15,19,45,55
8,10,18,24,48
9,20,34,58,60
4,29,40,47,48
7,31,38,51,59
2,5,16,30,59
12,18,20,30,44
7,25,33,38,47
14,15,19,25,29
9,18,35,59,60
23,25,27,31,40
11,22,34,51,59
4,24,39,58,59
5,13,25,50,58
5,21,28,56,58
24,46,50,55,60
9,19,28,54,60
13,25,35,37,57
3,20,29,40,57
4,6,21,26,52
10,11,38,50,54
5,13,30,31,45
6,10,19,26,42
39,41,42,44,47
4,15,32,58,60
7,27,54,57,58
1,6,19,47,55
1,15,17,43,49
9,19,24,34,56
20,26,29,34,60
4,13,44,50,59
4,20,37,40,44
2,10,35,42,56
1,7,16,23,35
1,15,22,25,37
7,15,31,50,57
3,14,17,41,56
7,38,45,47,57
9,16,19,37,52
24,28,35,38,56
5,8,9,14,25
21,23,35,44,46
1,15,31,43,56
3,14,17,23,54
5,31,35,43,50
11,32,37,39,54
18,34,37,45,55
5,27,40,43,50
13,16,31,34,50
19,23,34,47,49
17,22,47,55,60
24,27,33,47,49
8,9,15,46,48
17,21,35,43,50
1,26,41,45,59
8,13,17,48,57
6,9,22,46,48
5,16,20,29,45
8,18,19,34,36
9,25,32,36,60
6,18,24,25,51
13,24,26,34,56
5,10,34,41,47
12,18,19,33,39
11,14,35,43,53
3,7,19,31,38
10,15,35,42,54
3,28,32,49,56
2,18,39,45,60
20,34,42,46,48
2,7,10,32,53
3,9,14,48,57
9,13,29,39,46
8,11,15,22,29
3,23,28,31,32
13,21,23,26,48
17,22,23,30,59
29,36,37,40,49
11,25,32,35,41
6,34,36,48,55
1,5,48,50,51
20,26,38,40,60
18,20,42,51,58
28,41,48,51,57
2,3,9,38,54
8,12,51,58,60
27,42,43,50,54
1,25,53,56,58
2,8,23,34,54
1,5,20,21,57
36,48,54,56,57
15,16,33,34,49
13,56,57,58,59
4,14,30,44,45
15,20,26,46,50
17,33,37,51,56
11,24,47,53,58
2,34,47,51,58
3,4,29,40,60
4,12,42,49,58
10,20,30,32,50
3,4,41,55,60
7,22,23,30,43
13,29,43,44,50
12,22,26,35,60
28,32,36,43,46
10,14,25,36,52
9,16,17,30,44
7,11,31,47,49
1,23,40,58,60
2,7,11,39,53
1,5,10,30,54
6,14,30,51,57
23,31,45,48,58
1,3,15,26,53
18,25,28,41,47
12,15,16,38,57
12,14,16,17,28
5,13,14,16,45
4,13,48,49,53
10,26,43,47,56
1,7,21,36,47
