Draw Date,Win Num 1,Win Num 2,Win Num 3,Win Num 4,Win Num 5,,,,,,,,,,,,,Cash Ball
6/16/2014,9,36,44,53,59,,Range 1 to 60,,,,,,,,,,,2
6/19/2014,8,13,43,56,60,,"2421 x 5 numbers, 12105 points",,,Count,Expected,Chi Sq,df,Chi Sq Sum,p val,,,1
6/23/2014,5,16,21,33,47,,,,1,202,201.75,0.000309789,69,41.08921933,0.9969644,,,1
6/26/2014,15,22,51,52,58,,,,2,190,,0.684324659,,,,,,2
6/30/2014,1,4,10,28,33,,,,3,184,,1.561648079,,,,,,4
7/3/2014,8,10,25,28,31,,,,4,192,,0.471189591,,,,,,4
7/7/2014,11,13,23,54,55,,,,5,220,,1.65086741,,,,,,4
7/10/2014,11,12,31,54,59,,,,6,212,,0.520755886,,,,,,3
7/14/2014,9,19,34,37,49,,,,7,192,,0.471189591,,,,,,3
7/17/2014,8,9,22,46,51,,,,8,222,,2.032527881,,,,,,1
7/21/2014,4,6,11,24,31,,,,9,223,,2.238228005,,,,,,3
7/24/2014,5,20,35,43,48,,,,10,199,,0.037484511,,,,,,4
7/28/2014,6,15,31,51,53,,,,11,205,,0.052354399,,,,,,4
7/31/2014,13,25,26,32,58,,,,12,190,,0.684324659,,,,,,4
8/4/2014,17,21,36,48,60,,,,13,223,,2.238228005,,,,,,1
8/7/2014,3,18,38,40,49,,,,14,220,,1.65086741,,,,,,2
8/11/2014,5,10,33,48,57,,,,15,199,,0.037484511,,,,,,3
8/14/2014,3,11,34,46,60,,,,16,214,,0.743804213,,,,,,4
8/18/2014,6,10,29,44,57,,,,17,178,,2.795848823,,,,,,1
8/21/2014,11,24,40,43,47,,,,18,186,,1.229553903,,,,,,1
8/25/2014,6,8,34,40,59,,,,19,201,,0.002788104,,,,,,4
8/28/2014,12,24,27,38,49,,,,20,187,,1.078376704,,,,,,4
9/1/2014,9,21,27,45,53,,,,21,225,,2.67936803,,,,,,1
9/4/2014,3,21,28,32,56,,,,22,198,,0.069702602,,,,,,2
9/8/2014,1,17,23,44,45,,,,23,198,,0.069702602,,,,,,2
9/11/2014,12,44,56,58,59,,,,24,206,,0.08952912,,,,,,3
9/15/2014,3,5,9,32,56,,,,25,208,,0.19361834,,,,,,2
9/18/2014,5,10,11,24,28,,,,26,218,,1.308859975,,,,,,4
9/22/2014,28,39,40,53,54,,,,27,203,,0.007744734,,,,,,1
9/25/2014,9,11,28,30,41,,,,28,204,,0.025092937,,,,,,4
9/29/2014,19,36,37,43,50,,,,29,185,,1.390644362,,,,,,3
10/2/2014,23,34,35,44,52,,,,30,189,,0.805762082,,,,,,4
10/6/2014,16,30,37,52,55,,,,31,195,,0.225836431,,,,,,1
10/9/2014,23,26,32,50,57,,,,32,195,,0.225836431,,,,,,2
10/13/2014,10,13,49,54,57,,,,33,183,,1.742565056,,,,,,4
10/16/2014,12,13,20,28,45,,,,34,212,,0.520755886,,,,,,2
10/20/2014,8,16,43,52,59,,,,35,195,,0.225836431,,,,,,4
10/23/2014,9,22,24,36,54,,,,36,213,,0.62732342,,,,,,1
10/27/2014,6,9,28,40,41,,,,37,202,,0.000309789,,,,,,1
10/30/2014,19,22,29,38,53,,,,38,208,,0.19361834,,,,,,2
11/3/2014,3,27,28,49,52,,,,39,206,,0.08952912,,,,,,3
11/6/2014,3,7,14,20,32,,,,40,211,,0.424101611,,,,,,3
11/10/2014,7,21,30,53,55,,,,41,198,,0.069702602,,,,,,3
11/13/2014,7,8,16,49,56,,,,42,204,,0.025092937,,,,,,3
11/17/2014,8,23,37,38,58,,,,43,199,,0.037484511,,,,,,1
11/20/2014,2,40,46,59,60,,,,44,216,,1.006505576,,,,,,1
11/24/2014,8,25,26,33,56,,,,45,200,,0.015179678,,,,,,3
11/27/2014,9,30,43,51,55,,,,46,200,,0.015179678,,,,,,4
12/1/2014,4,7,33,50,55,,,,47,189,,0.805762082,,,,,,3
12/4/2014,1,15,21,41,60,,,,48,201,,0.002788104,,,,,,4
12/8/2014,4,11,14,46,59,,,,49,196,,0.163878563,,,,,,4
12/11/2014,12,22,27,35,49,,,,50,198,,0.069702602,,,,,,1
12/15/2014,8,22,31,38,40,,,,51,208,,0.19361834,,,,,,3
12/18/2014,20,22,26,27,43,,,,52,200,,0.015179678,,,,,,3
12/22/2014,3,17,30,50,55,,,,53,188,,0.937112763,,,,,,3
12/25/2014,5,14,22,37,60,,,,54,173,,4.096964064,,,,,,4
12/29/2014,8,9,35,37,41,,,,55,205,,0.052354399,,,,,,4
1/1/2015,13,19,20,21,35,,,,56,209,,0.260532838,,,,,,3
1/5/2015,12,23,29,38,43,,,,57,222,,2.032527881,,,,,,4
1/8/2015,16,28,38,43,45,,,,58,204,,0.025092937,,,,,,2
1/12/2015,1,5,11,39,47,,,,59,201,,0.002788104,,,,,,1
1/15/2015,12,15,22,25,27,,,,60,196,,0.163878563,,,,,,4
1/19/2015,18,29,47,52,53,,,,,,,,,,,,,4
1/22/2015,8,11,35,47,60,,,,,,,,,,,,,3
1/26/2015,1,20,24,46,57,,,,,,,,,,,,,2
1/29/2015,8,24,28,57,60,,,,,,,,,,,,,3
2/2/2015,4,8,17,20,21,,,,,,,,,,,,,1
2/5/2015,14,17,38,40,45,,,,,,,,,,,,,4
2/9/2015,9,17,36,38,53,,,,,,,,,,,,,1
2/12/2015,6,11,32,56,60,,,,,,,,,,,,,2
2/16/2015,6,26,35,40,43,,,,,,,,,,,,,4
2/19/2015,18,43,51,52,60,,,,,,,,,,,,,3
2/23/2015,1,14,20,21,43,,,,,,,,,,,,,1
2/26/2015,3,16,20,38,49,,,,,,,,,,,,,1
3/2/2015,8,23,27,38,47,,,,,,,,,,,,,3
