C1,C2,C3,C4,C5
15,28,36,37,41
1,2,25,31,33
6,19,25,28,36
5,6,7,12,37
1,20,36,39,43
12,19,22,35,38
11,19,27,28,37
15,21,26,28,36
1,11,28,31,41
7,22,29,32,41
8,12,20,36,40
12,13,25,31,42
3,26,33,34,38
3,20,33,34,40
13,20,26,29,40
2,9,12,34,40
9,20,24,31,33
4,6,14,17,29
3,4,9,20,32
18,22,32,37,39
10,16,18,35,40
20,22,25,37,43
1,7,12,19,21
7,23,30,33,36
7,23,24,34,39
14,15,20,25,40
6,9,15,37,42
1,27,31,34,36
3,13,14,17,23
1,22,31,32,37
14,25,28,37,41
4,5,9,13,40
15,16,18,19,37
6,14,32,34,42
1,5,6,13,26
13,15,18,26,43
1,6,12,18,36
4,24,28,36,39
1,4,13,23,33
8,16,19,35,41
1,2,20,31,43
7,11,23,41,43
10,17,24,37,42
10,16,19,23,34
4,15,22,23,38
1,10,28,35,41
3,10,13,21,38
24,31,32,33,34
19,22,29,38,39
2,10,21,23,35
18,27,38,40,41
17,26,27,28,40
2,4,9,15,24
11,21,31,32,39
13,20,28,35,40
22,24,28,34,42
15,20,25,29,43
2,4,10,17,37
1,18,22,30,39
11,18,23,32,40
8,12,22,29,39
9,12,18,37,41
15,21,25,26,31
2,5,7,9,28
2,14,21,27,28
3,23,28,29,32
11,15,23,24,25
11,23,33,36,42
17,23,25,29,31
8,14,20,22,42
6,8,13,29,31
2,13,14,26,42
14,30,35,37,40
1,2,33,34,41
1,2,4,5,13
1,5,9,29,42
7,10,24,31,43
6,17,23,27,32
2,6,16,23,43
6,11,12,17,40
12,13,15,18,31
12,19,27,28,41
1,4,14,21,42
4,23,27,29,34
5,6,14,16,35
9,12,18,32,38
10,23,25,26,33
18,34,37,39,41
5,6,9,39,42
7,16,18,37,40
15,28,31,32,35
8,23,24,32,36
4,17,27,28,42
6,20,25,27,43
7,17,18,30,33
10,14,18,20,33
17,26,28,29,42
3,11,18,24,37
9,15,19,27,30
4,7,10,36,41
13,15,24,33,40
7,20,36,42,43
1,12,28,30,33
3,23,31,35,40
10,12,16,17,27
14,27,34,37,43
10,18,19,36,43
7,37,38,39,41
5,6,14,26,31
11,12,39,40,43
6,10,23,31,34
13,16,28,34,37
12,13,23,35,39
8,11,17,23,39
9,12,16,18,34
6,15,19,27,42
3,16,19,20,23
1,7,12,26,43
1,4,18,21,42
2,8,20,25,27
3,20,22,24,36
7,8,18,25,43
11,12,25,33,39
16,20,29,33,40
3,16,18,30,34
5,7,20,34,37
8,11,22,35,41
6,17,31,32,41
4,13,14,16,33
21,32,33,34,37
12,25,32,33,41
2,13,25,36,43
2,11,26,33,40
2,5,9,11,42
6,16,20,24,30
5,33,34,41,43
2,3,22,28,37
1,12,20,39,41
6,12,16,21,33
10,12,34,35,36
3,22,26,29,36
17,27,37,38,40
3,8,10,15,39
4,22,26,29,36
8,9,19,23,38
