C1,C2,C3,C4,C5
3,9,10,21,40
9,12,16,28,38
8,21,22,37,38
5,12,15,20,42
3,5,8,20,24
3,4,29,40,43
14,22,24,25,32
1,20,25,27,34
4,13,20,31,33
11,28,31,33,41
17,28,29,37,40
5,20,21,25,26
8,10,19,22,30
3,13,16,20,26
22,25,26,40,43
5,13,17,22,40
10,19,32,38,40
12,21,25,27,34
1,3,7,16,32
4,7,8,24,41
4,17,21,35,40
16,25,31,32,34
13,15,16,31,37
1,11,19,20,37
26,29,30,35,36
9,10,27,35,42
4,29,30,31,42
17,18,31,34,39
11,14,23,30,35
4,17,33,34,35
2,6,8,12,29
3,12,14,23,21
10,12,27,34,40
4,6,20,29,38
2,6,14,20,27
16,22,24,41,43
10,12,15,41,43
13,17,30,34,43
19,31,32,34,41
1,2,7,28,38
5,20,34,35,43
27,39,40,41,42
2,15,16,22,28
4,11,18,36,41
23,24,30,34,41
5,18,19,26,31
17,23,24,36,38
2,4,21,27,42
13,16,24,35,36
6,9,10,13,22
2,21,31,34,42
2,12,16,24,40
11,12,19,32,33
4,12,28,33,43
5,22,24,33,43
8,20,22,37,43
10,19,20,21,24
7,8,10,42,43
9,13,14,17,34
7,16,24,35,43
3,6,7,28,40
10,11,30,36,43
1,10,14,34,42
2,8,11,29,32
2,14,27,37,41
2,3,8,26,40
4,29,36,38,39
10,19,20,22,31
1,4,5,23,26
20,28,30,31,41
2,6,10,15,24
7,21,32,33,34
6,18,22,29,40
19,26,27,30,32
3,7,10,18,40
11,13,17,25,38
6,9,29,32,33
2,6,8,24,37
10,24,36,38,42
1,11,21,37,38
2,6,14,15,39
25,29,32,35,41
12,16,22,31,32
3,5,17,30,37
2,19,27,37,40
5,24,29,41,43
16,23,28,30,40
3,14,26,31,40
1,12,20,25,35
10,18,21,22,33
2,11,19,21,23
20,23,26,34,37
4,7,17,18,20
13,20,26,36,40
6,8,12,17,31
1,3,6,18,20
8,17,20,21,32
1,4,36,37,43
10,12,17,20,32
4,22,29,32,40
10,14,30,37,42
10,11,15,23,38
19,25,29,36,43
14,16,32,34,39
24,31,32,34,42
22,27,28,30,34
1,2,5,14,30
18,32,35,42,43
5,10,16,35,39
4,20,27,32,40
11,16,18,34,36
3,4,8,19,24
8,21,33,34,42
2,23,25,33,36
4,8,17,23,38
7,8,27,38,39
4,8,12,19,30
2,23,27,28,34
13,28,31,35,43
2,3,12,19,35
1,11,14,15,40
7,11,14,30,42
4,19,30,34,43
21,24,31,39,42
4,32,35,36,37
1,13,20,22,32
4,15,30,38,42
3,7,10,13,21
1,5,13,22,23
16,23,25,26,36
5,15,21,22,39
13,15,24,29,30
2,8,19,23,37
7,8,17,32,37
3,18,23,28,43
3,9,29,31,41
24,33,35,36,41
6,19,30,34,35
7,25,31,33,41
11,12,17,27,41
4,16,18,22,27
3,6,9,24,30
5,16,25,39,41
12,14,16,25,28
4,8,18,20,24
2,5,17,20,23
6,27,28,36,40
9,22,25,30,40
2,8,20,22,28
5,6,15,27,30
9,18,25,38,39
23,26,28,37,43
14,20,28,36,37
6,7,16,38,39
7,23,33,35,36
16,17,23,34,36
3,17,21,28,31
6,14,15,28,30
8,12,15,27,35
5,26,31,39,40
3,10,28,29,33
11,14,16,19,33
8,10,30,35,40
1,6,17,26,35
11,13,14,23,42
4,6,18,32,42
9,10,15,22,24
2,4,32,33,41
12,19,20,33,39
2,30,32,35,36
1,15,24,29,33
7,22,25,32,33
1,8,10,12,40
2,32,34,41,43
1,40,41,42,43
3,23,30,32,40
2,6,22,28,34
1,9,17,33,42
10,13,21,34,43
1,4,8,14,41
21,31,33,35,41
12,17,27,29,32
8,18,19,32,42
8,12,29,30,31
5,20,26,34,37
9,10,13,14,37
20,22,23,26,28
16,17,31,36,38
11,13,18,21,37
5,17,27,29,30
6,13,14,30,34
2,19,25,26,28
3,5,7,13,16
3,20,24,27,28
10,14,29,35,37
7,11,17,18,43
1,8,12,14,30
1,8,10,15,40
1,14,31,34,42
17,26,30,37,40
6,24,27,32,39
3,9,15,29,41
2,9,18,31,42
3,20,22,33,35
7,13,28,34,40
5,7,8,14,28
4,18,22,34,41
2,9,15,30,32
1,12,13,19,27
12,13,14,31,35
2,15,30,37,38
9,15,24,31,36
9,11,31,35,36
11,15,23,26,39
13,19,28,39,42
14,22,23,31,38
13,26,33,35,40
3,18,24,34,36
4,6,20,27,35
6,20,22,30,34
7,17,18,24,28
13,16,17,22,25
3,29,30,36,37
1,5,8,20,29
2,3,12,29,31
9,10,26,30,36
2,5,12,38,40
18,31,33,34,42
8,26,31,38,39
3,4,22,38,43
15,20,25,35,43
2,4,19,27,34
3,20,28,37,39
7,9,11,13,38
5,19,20,22,34
6,10,14,21,26
5,16,18,25,30
2,3,10,24,28
4,11,24,26,27
4,25,31,38,43
15,29,32,40,43
7,15,22,23,42
7,15,27,32,40
8,14,28,36,43
17,24,25,40,42
3,15,26,31,34
8,15,21,27,32
2,7,16,26,41
4,7,11,39,43
10,18,23,29,41
1,2,5,21,35
