bonus1,bonus2
3,15
12,32
5,15
2,14
22,31
6,25
6,15
6,8
13,35
16,20
14,35
24,32
15,34
34,36
8,29
8,34
7,15
20,26
1,15
11,22
19,28
3,10
14,32
2,29
10,24
21,27
25,26
1,11
15,31
16,34
20,32
31,34
19,30
8,27
26,36
25,37
29,33
8,31
1,18
7,20
25,28
8,26
5,13
1,14
25,31
4,35
6,15
8,35
14,21
11,16
15,33
5,9
12,30
7,35
13,33
29,30
8,32
11,34
27,34
5,33
13,14
9,16
12,37
19,26
25,34
3,20
6,33
12,23
11,12
4,11
2,15
9,21
28,33
9,11
10,20
24,33
15,29
7,20
6,36
25,34
9,21
18,37
18,22
12,37
14,23
24,35
13,15
18,19
17,20
11,25
18,24
11,27
31,37
26,36
26,36
10,36
1,29
10,30
11,19
9,14
3,16
13,25
30,34
12,13
17,21
1,11
29,31
18,21
7,23
19,37
1,34
13,20
14,20
4,12
24,26
3,20
23,26
16,20
24,35
9,36
19,29
5,12
23,28
6,27
18,21
1,18
6,25
3,35
29,35
5,24
23,31
35,37
14,27
12,29
3,4
18,31
16,20
30,35
4,36
1,33
21,29
1,33
4,31
17,26
4,19
15,35
8,14
12,33
12,32
11,24
4,8
6,7
2,33
3,13
10,37
17,36
1,37
5,20
16,24
23,33
4,30
6,10
3,7
2,11
6,20
23,34
19,37
2,5
25,26
12,24
11,16
9,26
4,28
4,29
14,18
15,16
2,35
13,37
5,33
5,37
15,27
3,37
19,29
2,32
11,12
21,28
15,31
14,18
1,19
8,34
7,30
3,22
9,10
14,23
26,35
8,14
14,23
5,25
13,16
1,11
12,34
29,32
12,28
7,12
27,32
22,26
19,26
27,29
28,34
23,34
29,36
1,27
20,23
3,22
7,9
8,28
24,34
10,34
2,4
20,27
13,36
35,37
24,25
1,21
25,29
10,22
29,30
22,36
1,32
18,31
10,26
10,23
8,37
5,34
3,11
10,30
8,33
23,31
1,14
5,30
4,20
19,24
11,14
11,12
7,36
21,36
11,37
12,18
5,25
18,23
23,30
11,17
26,29
7,26
5,10
19,20
23,28
25,26
4,31
5,6
7,8
5,15
6,14
4,24
10,37
16,22
6,28
26,27
2,26
26,28
14,31
19,25
5,9
7,29
34,37
2,33
1,22
27,28
9,37
2,37
30,36
7,14
10,19
1,31
4,36
27,31
4,8
17,31
23,25
29,35
5,15
24,30
1,7
28,32
13,26
25,27
8,24
26,30
28,30
6,12
5,19
4,25
10,30
18,23
10,18
1,31
20,26
13,25
18,34
6,9
30,33
17,30
1,20
12,30
28,31
6,8
18,19
3,14
19,27
36,37
9,25
14,20
23,27
30,36
6,20
12,32
2,17
18,21
15,25
19,32
19,30
3,33
30,32
8,29
13,14
24,37
11,33
15,36
9,37
12,28
19,24
4,8
11,16
12,21
24,35
3,27
25,35
1,24
16,32
2,28
5,16
28,34
19,34
23,35
14,31
19,21
27,35
8,11
1,24
15,17
2,8
13,26
3,19
19,33
10,23
4,23
7,35
3,20
6,33
24,35
12,23
9,27
4,30
15,34
34,35
10,15
27,32
20,28
18,26
13,16
9,22
16,28
10,20
9,33
5,15
7,21
14,15
13,28
17,23
30,34
24,26
18,21
9,32
8,19
8,9
26,31
7,20
1,6
4,10
25,34
1,33
4,13
5,26
9,26
11,29
24,25
9,16
14,28
12,33
9,36
9,14
15,24
27,36
14,20
16,35
29,36
9,11
1,20
22,33
2,3
21,36
5,6
2,6
26,33
7,24
13,35
9,18
24,32
18,24
3,27
2,3
21,31
10,34
26,30
13,32
18,36
1,11
27,33
14,18
14,35
8,25
25,36
23,24
25,33
2,3
11,28
25,28
22,27
8,9
9,31
10,17
8,27
9,13
1,33
33,34
33,36
9,33
6,37
14,33
4,13
14,33
4,18
6,10
1,10
15,22
18,33
31,34
26,28
23,28
1,34
17,32
4,6
8,27
27,28
12,19
21,37
7,29
12,34
21,23
22,34
5,21
8,34
29,34
29,30
8,9
14,19
22,36
2,11
8,14
7,15
6,30
9,18
9,36
17,19
6,32
10,26
17,19
4,18
6,12
6,36
30,33
4,30
31,37
11,14
1,23
3,21
1,15
