draw,drawdate,main1,main2,main3,main4,main5,main6,main7,bonus1,bonus2,sum7,sum9,odd7,even7
1,2013/4/5,7,10,12,17,23,28,34,3,15,131,149,3,4
2,2013/4/12,20,24,29,31,33,34,35,12,32,206,250,4,3
3,2013/4/19,2,7,8,11,14,23,31,5,15,96,116,4,3
4,2013/4/26,12,13,22,23,24,28,29,2,14,151,167,3,4
5,2013/5/3,1,3,4,5,16,21,28,22,31,78,131,4,3
6,2013/5/10,5,15,19,23,30,34,35,6,25,161,192,5,2
7,2013/5/17,1,3,5,7,27,29,33,6,15,105,126,7,0
8,2013/5/24,2,21,28,29,30,32,36,6,8,178,192,2,5
9,2013/5/31,3,4,15,23,27,30,36,13,35,138,186,4,3
10,2013/6/7,1,2,3,6,24,28,30,16,20,94,130,2,5
11,2013/6/14,9,15,26,29,32,34,36,14,35,181,230,3,4
12,2013/6/21,11,12,14,19,26,27,33,24,32,142,198,4,3
13,2013/6/28,6,10,16,21,27,28,35,15,34,143,192,3,4
14,2013/7/5,4,7,8,9,24,28,30,34,36,110,180,2,5
15,2013/7/12,2,10,14,17,23,25,35,8,29,126,163,4,3
16,2013/7/19,5,6,9,13,16,21,23,8,34,93,135,5,2
17,2013/7/26,2,3,5,22,34,36,37,7,15,139,161,3,4
18,2013/8/2,12,17,21,24,29,31,36,20,26,170,216,4,3
19,2013/8/9,2,14,19,20,21,22,31,1,15,129,145,3,4
20,2013/8/16,2,5,13,20,21,23,28,11,22,112,145,4,3
21,2013/8/23,1,9,13,15,25,30,33,19,28,126,173,6,1
22,2013/8/30,2,4,8,9,15,23,25,3,10,86,99,4,3
23,2013/9/6,4,8,11,25,28,29,30,14,32,135,181,3,4
24,2013/9/13,4,5,8,10,16,19,33,2,29,95,126,3,4
25,2013/9/20,1,6,11,16,17,18,21,10,24,90,124,4,3
26,2013/9/27,11,13,16,18,26,31,36,21,27,151,199,3,4
27,2013/10/4,1,10,11,14,17,18,28,25,26,99,150,3,4
28,2013/10/11,6,7,12,15,19,35,37,1,11,131,143,5,2
29,2013/10/18,2,3,16,17,24,26,28,15,31,116,162,2,5
30,2013/10/25,6,8,13,22,26,32,36,16,34,143,193,1,6
31,2013/11/1,9,12,13,19,23,33,34,20,32,143,195,5,2
32,2013/11/8,3,8,15,18,27,29,37,31,34,137,202,5,2
33,2013/11/15,1,4,17,24,29,33,36,19,30,144,193,4,3
34,2013/11/22,4,6,7,23,24,32,35,8,27,131,166,3,4
35,2013/11/29,1,16,18,19,25,30,34,26,36,143,205,3,4
36,2013/12/6,5,6,10,11,20,28,36,25,37,116,178,2,5
37,2013/12/13,7,8,10,13,14,19,37,29,33,108,170,4,3
38,2013/12/20,4,14,19,22,24,29,34,8,31,146,185,2,5
39,2013/12/27,7,13,19,23,25,26,30,1,18,143,162,5,2
40,2014/1/10,2,6,11,23,26,31,34,7,20,133,160,3,4
41,2014/1/17,2,3,8,15,34,35,36,25,28,133,186,3,4
42,2014/1/24,2,15,16,17,23,31,33,8,26,137,171,5,2
43,2014/1/31,4,6,7,8,24,31,37,5,13,117,135,3,4
44,2014/2/7,3,4,6,15,27,28,29,1,14,112,127,4,3
45,2014/2/14,1,2,9,18,21,27,33,25,31,111,167,5,2
46,2014/2/21,2,5,6,15,23,27,30,4,35,108,147,4,3
47,2014/2/28,2,9,11,14,20,21,36,6,15,113,134,3,4
48,2014/3/7,3,5,24,26,29,30,34,8,35,151,194,3,4
49,2014/3/14,8,11,12,17,24,26,27,14,21,125,160,3,4
50,2014/3/21,3,4,7,8,15,24,29,11,16,90,117,4,3
51,2014/3/28,1,4,5,8,20,23,35,15,33,96,144,4,3
52,2014/4/4,8,10,22,24,26,32,34,5,9,156,170,0,7
53,2014/4/11,1,4,14,16,20,33,36,12,30,124,166,2,5
54,2014/4/18,1,3,5,10,18,22,23,7,35,82,124,4,3
55,2014/4/25,4,12,14,17,23,30,36,13,33,136,182,2,5
56,2014/5/2,4,23,26,27,28,32,36,29,30,176,235,2,5
57,2014/5/9,5,6,12,16,17,20,33,8,32,109,149,3,4
58,2014/5/16,1,6,7,8,23,32,33,11,34,110,155,4,3
59,2014/5/23,5,8,12,13,21,30,35,27,34,124,185,4,3
60,2014/5/30,3,7,9,15,16,23,34,5,33,107,145,5,2
61,2014/6/6,5,10,11,21,28,31,37,13,14,143,170,5,2
62,2014/6/13,4,10,12,15,27,32,33,9,16,133,158,3,4
63,2014/6/20,4,8,19,24,28,30,32,12,37,145,194,1,6
64,2014/6/27,4,15,16,17,20,29,36,19,26,137,182,3,4
65,2014/7/4,4,7,12,22,23,24,28,25,34,120,179,2,5
66,2014/7/11,1,11,25,28,31,33,37,3,20,166,189,6,1
67,2014/7/18,7,11,15,17,18,25,35,6,33,128,167,6,1
68,2014/7/25,2,7,13,15,24,34,35,12,23,130,165,4,3
69,2014/8/1,13,17,20,22,28,29,37,11,12,166,189,4,3
70,2014/8/8,9,10,18,21,27,33,35,4,11,153,168,5,2
71,2014/8/15,1,6,13,29,34,35,37,2,15,155,172,5,2
