Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6
7,25,11,8,20,32
5,19,13,42,21,28
4,10,18,35,36,38
8,16,17,23,29,32
4,7,10,16,27,41
11,14,16,22,28,30
14,15,18,26,28,35
8,14,19,22,31,37
3,6,9,13,14,17
18,22,25,30,36,42
9,11,15,29,31,41
4,20,21,22,23,28
10,18,24,33,38,40
3,4,17,27,34,40
14,15,19,27,29,39
4,11,12,17,27,35
2,5,16,17,29,40
8,24,25,31,38,41
3,17,21,23,30,39
10,19,23,33,39,42
1,9,11,26,28,30
4,5,10,28,38,41
9,11,17,18,22,25
4,9,13,14,23,37
6,15,28,29,33,35
10,11,12,14,25,32
6,13,21,25,26,36
7,13,22,23,31,38
4,7,11,20,29,38
12,15,22,26,37,42
17,26,30,35,37,41
6,10,13,22,29,36
8,12,16,17,33,40
1,12,25,31,40,41
3,4,6,12,16,19
1,6,21,24,38,42
4,6,7,20,23,36
15,19,26,31,36,37
3,23,24,36,37,39
1,4,8,12,13,36
3,9,14,15,24,41
4,27,29,33,37,39
1,9,15,29,35,41
3,12,23,29,31,32
2,3,8,25,30,37
1,10,21,23,37,40
1,7,17,26,28,38
1,3,20,29,40,42
8,11,15,18,23,38
1,4,21,22,33,37
15,18,24,30,36,38
5,14,15,19,30,34
4,20,25,34,35,40
9,22,25,34,41,42
1,6,21,23,25,42
12,15,16,32,33,36
3,19,27,31,35,41
5,11,14,19,25,32
6,10,14,15,33,37
2,3,16,27,28,35
7,12,20,27,28,29
6,10,11,24,26,37
7,8,16,31,32,42
8,10,24,26,28,36
9,18,29,34,38,42
5,18,30,33,35,41
10,19,21,25,28,41
1,3,12,17,22,39
3,5,16,23,28,34
9,12,15,17,25,27
1,3,15,19,31,36
22,23,25,32,34,38
2,5,14,15,26,34
3,4,9,24,34,35
1,6,9,30,31,39
10,14,20,22,32,38
8,20,22,25,35,41
9,10,15,25,40,42
3,10,11,15,34,36
2,10,14,17,19,34
3,7,10,22,33,34
7,9,13,17,35,39
4,12,17,23,26,27
6,13,14,19,23,39
2,3,18,21,30,34
13,17,21,25,31,41
8,18,19,22,28,32
13,16,19,24,32,34
4,9,14,16,24,30
3,6,9,16,17,42
9,19,24,35,36,39
1,4,10,26,28,41
14,21,25,28,31,33
15,16,18,20,28,34
2,9,14,19,39,42
12,19,23,24,35,38
2,5,7,22,28,42
4,8,16,19,22,36
10,19,30,33,39,41
2,4,11,24,30,36
2,9,15,32,38,39
7,11,28,29,41,42
3,6,14,16,22,25
10,11,18,20,40,41
1,14,23,24,36,37
1,12,13,25,31,42
16,19,22,24,25,33
6,7,9,16,21,25
8,9,10,12,19,34
15,21,23,28,31,41
9,12,14,22,25,29
3,9,13,23,30,32
3,17,22,24,29,38
1,15,22,34,39,40
2,3,7,8,14,38
3,4,7,11,19,35
1,5,7,23,26,40
4,7,17,21,26,30
3,5,9,30,34,41
8,13,22,24,28,33
4,10,11,21,24,27
2,4,6,27,36,39
11,15,22,28,30,36
2,4,7,13,20,22
10,13,28,29,35,39
5,12,18,30,31,34
3,15,22,33,34,42
5,16,17,19,20,37
6,16,17,21,35,39
7,9,10,18,24,32
2,5,9,32,39,42
2,3,28,34,36,42
1,4,12,20,34,41
1,18,24,25,26,37
9,17,18,29,34,42
17,22,24,26,34,38
2,4,5,10,21,37
13,20,27,33,37,42
7,15,17,24,29,40
13,16,22,24,27,28
5,9,22,26,27,32
1,4,12,30,36,42
5,8,13,22,28,32
5,13,16,27,29,38
7,23,24,33,34,38
4,11,18,19,35,36
3,4,12,17,33,39
2,11,16,24,28,42
7,13,25,27,34,41
2,3,5,8,27,40
2,13,18,21,23,32
3,30,32,34,35,42
8,10,13,33,35,36
8,19,23,31,25,41
3,4,22,23,28,35
8,14,21,22,24,33
6,7,10,17,32,36
2,18,21,28,30,42
6,14,20,25,31,41
10,13,15,20,27,41
1,3,6,20,29,35
3,13,18,22,27,41
10,22,23,36,39,42
6,11,15,32,34,35
3,22,27,29,37,42
6,11,18,29,30,37
5,18,22,23,33,40
5,8,9,34,38,39
11,13,21,31,40,42
2,7,8,17,27,36
2,5,6,7,22,30
1,8,11,21,26,36
2,15,27,28,35,42
11,12,20,23,28,40
3,9,10,12,15,31
9,10,11,26,28,32
7,16,18,31,36,42
3,17,18,27,36,42
2,24,25,30,33,41
4,6,10,30,34,39
1,9,11,17,23,39
2,9,20,36,38,39
1,3,6,7,31,34
5,17,20,21,32,35
11,12,25,28,29,35
9,14,20,23,27,33
14,23,25,28,38,39
1,14,19,20,38,40
1,3,7,34,35,42
8,16,20,22,37,42
6,11,21,28,34,40
12,16,22,24,36,38
13,17,32,33,39,42
10,19,24,28,35,36
2,11,15,20,40,41
1,5,11,27,29,30
3,4,8,11,38,40
1,14,18,34,35,37
13,16,28,31,35,42
2,25,27,29,33,40
4,15,16,20,39,42
2,6,16,25,33,38
4,8,19,22,39,42
8,9,10,18,19,27
20,21,26,30,33,39
8,24,27,30,38,41
8,20,24,25,27,36
13,16,31,32,36,40
4,9,25,26,31,42
1,8,10,14,21,26
12,14,17,21,22,29
3,9,12,18,23,33
2,21,23,25,30,35
7,16,18,19,21,27
1,3,4,9,16,29
6,27,29,37,40,42
20,25,29,33,34,37
8,9,13,22,32,38
9,20,23,27,33,40
1,12,18,20,21,34
4,10,24,25,30,36
5,14,23,27,36,38
2,6,18,26,29,31
5,7,8,12,22,33
4,22,29,30,32,36
3,7,9,14,28,32
6,13,16,26,29,33
7,13,20,23,36,38
1,7,19,24,32,34
5,18,19,33,38,42
15,19,30,35,39,40
6,8,10,15,24,25
8,9,14,28,29,39
1,7,16,30,35,36
11,14,17,20,27,28
2,6,11,14,39,41
7,11,12,17,23,29
1,4,19,28,36,37
3,9,13,24,35,37
10,19,29,30,33,36
4,12,15,23,27,29
2,4,19,26,31,34
7,15,21,22,23,26
3,9,14,20,23,42
3,4,20,22,24,39
6,9,12,14,17,39
2,7,8,20,37,38
7,12,17,19,35,42
10,18,19,31,36,41
4,11,13,19,20,37
8,12,14,21,24,39
3,9,11,15,22,32
3,10,19,32,33,34
2,19,21,29,31,33
5,6,22,28,33,34
18,23,25,26,32,34
2,12,19,23,32,39
6,7,13,26,33,35
6,10,12,15,30,40
3,12,13,18,24,34
2,7,11,17,21,31
11,14,15,23,34,42
15,18,21,29,35,40
7,8,14,32,36,38
4,9,15,23,34,40
2,5,7,18,20,31
9,13,26,30,38,41
10,22,23,28,35,38
1,3,12,25,29,34
2,5,9,19,25,33
3,4,15,17,22,28
4,7,18,28,33,36
15,19,21,27,31,32
1,11,21,24,31,41
11,17,19,20,34,42
4,13,17,23,32,39
7,13,16,20,23,29
12,20,25,28,32,34
9,15,24,27,28,37
4,13,14,21,26,37
5,9,16,33,35,40
10,14,15,33,37,42
6,10,12,20,25,42
6,9,13,31,33,35
3,6,12,14,19,40
7,13,30,35,41,42
15,17,24,31,36,38
12,21,24,25,34,35
9,14,19,24,26,28
4,8,11,30,34,39
2,3,5,7,38,39
11,21,23,25,33,37
4,6,8,14,17,26
6,9,23,37,39,42
8,9,26,28,33,35
9,16,21,22,35,41
7,12,13,23,24,31
1,10,11,15,21,31
19,27,28,33,37,39
9,22,23,31,34,40
5,7,13,15,30,33
10,23,24,26,38,40
23,24,25,32,34,38
3,7,20,26,32,35
11,20,23,38,40,42
5,12,16,17,18,27
3,17,21,26,29,34
5,12,16,29,37,38
1,7,10,24,30,40
4,6,8,9,23,31
4,13,24,28,31,42
15,17,23,24,27,28
8,10,25,28,29,39
8,9,17,32,36,40
8,11,12,19,35,41
6,7,11,20,23,25
7,12,16,30,40,42
7,9,15,18,36,39
3,18,25,29,38,41
1,9,14,15,26,33
5,10,12,13,21,40
23,24,25,30,36,42
16,22,23,25,28,40
22,23,24,26,36,39
2,10,13,30,37,38
4,17,25,33,35,40
3,8,20,27,32,37
4,16,32,33,36,39
3,25,27,28,36,38
8,21,27,32,38,42
5,14,18,24,37,42
4,7,17,29,32,39
1,8,11,12,28,30
4,11,12,16,35,40
1,3,12,26,39,41
10,16,17,22,23,34
14,19,28,36,40,41
7,8,17,18,34,36
10,22,30,35,38,39
5,17,18,20,27,30
6,18,26,27,28,39
1,4,6,13,38,41
5,8,9,19,24,42
5,10,13,16,20,31
11,22,23,27,32,40
1,6,11,19,24,31
6,23,31,33,36,40
2,16,24,25,27,28
14,18,19,31,35,41
5,6,13,21,34,37
5,10,15,21,26,38
9,18,24,34,41,42
13,26,31,39,40,42
6,8,10,21,25,42
2,9,15,16,17,22
8,22,25,32,35,41
2,5,15,18,28,29
3,5,11,18,22,31
2,21,22,28,32,42
2,8,16,25,29,33
6,14,19,23,24,26
2,15,24,26,28,30
3,7,22,23,29,40
17,18,23,28,33,38
1,2,5,24,32,36
12,21,24,30,31,32
3,13,17,25,30,31
1,10,11,16,26,33
6,16,18,25,27,39
1,4,14,21,39,41
6,14,24,35,37,41
1,2,3,14,24,38
5,10,21,23,31,39
11,15,19,21,29,34
3,11,12,19,22,39
5,15,25,28,32,37
7,10,35,40,41,42
5,6,7,12,19,40
1,4,7,11,12,32
1,4,7,11,12,32
1,4,7,11,12,32
1,4,7,11,12,32
1,4,7,11,12,32
1,4,7,11,12,32
1,4,7,11,12,32
1,4,7,11,12,32
1,4,7,11,12,32
1,4,7,11,12,32
14,32,35,37,39,40
6,13,15,25,28,33
5,11,18,20,25,32
12,21,22,23,39,42
3,19,22,25,26,33
