Win Num 1,Win Num 2,Win Num 3,Win Num 4,Win Num 5
1,2,16,24,66
6,23,41,59,63
12,41,43,52,55
10,17,20,24,54
16,18,21,54,65
28,30,44,66,69
5,20,26,49,51
22,38,48,51,61
34,55,59,65,70
12,32,38,40,57
23,29,36,61,70
6,7,24,44,54
19,23,30,33,50
2,14,33,58,65
3,9,14,26,51
10,17,23,50,67
5,35,42,58,66
15,35,48,53,68
21,26,54,60,64
6,15,32,54,67
4,8,19,31,45
28,31,33,42,66
3,16,27,47,62
3,18,27,40,44
21,22,50,55,67
1,25,26,31,65
1,5,7,22,24
3,5,12,22,66
19,37,40,63,69
4,11,23,33,49
12,18,48,57,62
46,54,56,67,70
2,5,8,28,69
8,17,40,60,70
13,19,43,62,64
13,22,26,32,65
26,28,36,63,66
6,13,15,53,56
10,18,27,37,61
15,23,53,57,61
11,17,33,39,43
19,30,34,46,58
21,26,36,44,59
1,12,14,18,66
34,43,51,52,69
20,30,54,63,65
10,50,56,60,66
11,30,33,38,60
7,11,22,29,38
3,8,31,35,44
24,46,49,62,66
13,25,50,51,66
2,16,31,57,64
19,20,22,47,58
2,49,50,61,70
15,33,37,55,61
6,18,26,27,49
4,6,40,41,60
5,45,55,58,68
19,23,39,42,67
1,3,19,25,58
17,22,29,46,69
2,10,31,44,57
11,22,42,64,69
3,5,16,58,59
14,31,34,50,61
21,28,58,69,70
1,9,16,17,30
2,10,42,49,54
19,34,35,45,67
12,15,32,33,53
5,23,26,38,44
3,18,27,29,64
11,27,30,62,70
8,10,22,58,64
10,26,36,54,69
17,26,50,58,61
10,20,28,40,54
8,23,44,45,53
21,26,53,66,70
18,35,40,64,67
12,47,49,52,65
27,37,42,59,61
6,15,45,59,68
17,22,25,30,38
6,12,31,33,69
29,35,59,61,69
13,33,59,68,70
3,11,33,42,52
15,32,38,47,65
14,35,37,55,70
11,32,43,57,70
16,20,30,54,59
7,29,36,49,61
5,6,29,32,61
6,18,44,46,68
3,8,17,46,63
12,24,46,57,66
3,19,32,39,59
18,40,47,55,64
15,30,35,42,60
10,13,14,57,66
6,9,13,29,66
5,13,29,50,53
2,14,21,42,67
3,12,17,51,62
3,43,50,51,65
10,31,42,43,55
9,39,52,61,63
12,23,26,31,38
1,12,26,36,50
10,20,29,44,66
18,39,42,57,63
8,9,18,35,41
13,19,20,32,33
11,30,45,52,56
8,24,30,45,61
5,10,28,52,63
3,5,6,44,61
29,40,47,50,57
19,22,31,37,54
