Draw Date,Win Num 1,Win Num 2,Win Num 3,Win Num 4,Win Num 5,,,Number,Count,Chi Sq Vals,Sum,df,p Val,,,,,,Mega Ball,Multiplier
9/10/2024,1,2,16,24,66,,3585 total,1,51,0,62.76470588,69,0.688240841,,,,,,6,4
9/6/2024,6,23,41,59,63,,70 numbers,2,49,0.078431373,,,,,,,,,25,2
9/3/2024,12,41,43,52,55,,,3,67,5.019607843,,,,,,,,,9,4
8/30/2024,10,17,20,24,54,,,4,53,0.078431373,,,,,,,,,8,4
8/27/2024,16,18,21,54,65,,,5,45,0.705882353,,,,,,,,,5,2
8/23/2024,28,30,44,66,69,,,6,52,0.019607843,,,,Expected,,,,,2,3
8/20/2024,5,20,26,49,51,,,7,53,0.078431373,,,,51,,,,,24,4
8/16/2024,22,38,48,51,61,,,8,61,1.960784314,,,,,,,,,5,3
8/13/2024,34,55,59,65,70,,,9,45,0.705882353,,,,,,,,,12,4
8/9/2024,12,32,38,40,57,,,10,67,5.019607843,,,,,,,,,21,2
8/6/2024,23,29,36,61,70,,,11,55,0.31372549,,,,,,,,,22,4
8/2/2024,6,7,24,44,54,,,12,47,0.31372549,,,,,,,,,13,4
7/30/2024,19,23,30,33,50,,,13,49,0.078431373,,,,,,,,,25,2
7/26/2024,2,14,33,58,65,,,14,62,2.37254902,,,,,,,,,3,3
7/23/2024,3,9,14,26,51,,,15,61,1.960784314,,,,,,,,,21,4
7/19/2024,10,17,23,50,67,,,16,52,0.019607843,,,,,,,,,3,3
7/16/2024,5,35,42,58,66,,,17,64,3.31372549,,,,,,,,,22,2
7/12/2024,15,35,48,53,68,,,18,55,0.31372549,,,,,,,,,8,3
7/9/2024,21,26,54,60,64,,,19,53,0.078431373,,,,,,,,,3,3
7/5/2024,6,15,32,54,67,,,20,58,0.960784314,,,,,,,,,4,3
7/2/2024,4,8,19,31,45,,,21,44,0.960784314,,,,,,,,,11,4
6/28/2024,28,31,33,42,66,,,22,55,0.31372549,,,,,,,,,24,3
6/25/2024,3,16,27,47,62,,,23,45,0.705882353,,,,,,,,,8,4
6/21/2024,3,18,27,40,44,,,24,53,0.078431373,,,,,,,,,19,4
6/18/2024,21,22,50,55,67,,,25,52,0.019607843,,,,,,,,,20,2
6/14/2024,1,25,26,31,65,,,26,54,0.176470588,,,,,,,,,2,3
6/11/2024,1,5,7,22,24,,,27,48,0.176470588,,,,,,,,,8,4
6/7/2024,3,5,12,22,66,,,28,51,0,,,,,,,,,7,4
6/4/2024,19,37,40,63,69,,,29,58,0.960784314,,,,,,,,,17,3
