Win Num 1,Win Num 2,Win Num 3,Win Num 4,Win Num 5
1,16,21,47,60
14,34,37,55,63
7,10,21,33,59
8,42,46,48,53
4,34,35,38,69
5,33,47,50,64
2,4,23,68,69
5,15,21,24,43
27,31,33,38,67
1,2,15,23,28
12,31,43,45,46
8,9,23,29,62
9,22,57,67,68
9,24,33,64,69
6,19,35,47,57
29,42,44,51,54
13,33,40,60,61
23,34,37,50,58
11,27,30,33,44
3,31,37,40,64
16,42,59,63,68
31,36,56,58,69
18,25,31,40,57
24,27,32,47,66
9,31,39,40,45
9,55,59,66,69
7,11,12,27,46
20,22,31,33,45
5,32,35,39,49
2,26,33,55,57
5,9,32,39,55
26,51,54,61,69
4,9,36,47,56
5,6,36,53,69
4,5,15,32,62
4,27,44,50,64
30,48,53,58,66
4,36,48,54,56
19,30,31,61,62
3,10,33,58,59
8,38,52,54,64
8,44,45,51,69
19,29,35,36,45
28,38,52,54,68
17,34,56,60,61
9,30,39,49,59
6,33,35,36,64
5,16,18,26,67
1,7,48,64,68
19,36,37,42,59
19,42,45,55,69
5,14,29,38,66
3,6,39,49,67
7,41,43,44,51
7,23,24,56,60
14,20,23,53,69
1,11,19,21,68
11,38,47,67,69
9,30,53,55,62
2,20,22,26,47
12,16,33,39,52
4,35,41,44,58
24,29,44,47,54
7,16,41,56,61
7,33,40,43,69
6,7,12,24,36
6,21,23,39,54
22,27,44,52,69
11,38,41,62,65
19,24,40,42,56
12,13,33,50,52
37,46,57,60,66
7,11,19,53,68
6,23,25,34,51
13,22,27,54,66
10,17,20,39,44
12,23,44,57,61
21,29,54,59,62
1,3,7,16,66
30,36,49,52,63
6,19,28,44,60
36,42,50,52,67
3,18,27,36,53
16,26,29,38,50
24,29,42,51,54
3,8,40,53,58
4,27,33,41,42
4,23,45,50,53
6,28,59,62,69
1,4,45,47,67
17,36,43,53,67
27,28,34,37,44
12,21,62,67,69
1,2,27,30,67
9,11,27,59,66
15,18,19,41,43
39,41,43,49,64
7,38,65,66,68
1,5,32,50,64
24,25,43,52,63
16,31,34,47,65
18,22,43,61,65
13,30,35,49,59
13,31,33,51,58
25,40,43,48,50
7,17,28,40,45
4,31,34,38,61
30,31,38,48,68
12,21,42,44,49
10,11,26,27,34
4,11,38,51,68
5,12,20,24,29
9,14,17,18,53
27,35,41,56,60
5,8,19,34,39
3,9,10,20,62
3,8,41,56,64
1,24,27,31,62
5,25,26,40,60
2,12,37,56,65
18,19,27,28,45
28,35,41,47,60
6,47,50,61,68
2,21,38,61,66
27,33,63,66,68
20,24,33,39,42
19,26,30,39,63
34,50,51,61,67
3,4,51,53,60
24,33,35,37,42
1,12,14,24,57
14,21,33,39,62
12,25,40,59,61
1,28,30,34,52
22,26,39,47,63
