Draw Date,Win Num 1,Wim Num 2,Win 3,Win 4,Win 5,Win 6,,,,"range 1 to 40, 6 numbers",,,,
9/17/2009,16,19,23,26,36,38,,,,"495 x 6, 2970 data points",,,,
9/21/2009,10,13,14,19,26,30,,,,,,,,
9/24/2009,3,4,22,25,36,39,,,COUNTS,EXPECTED,X Sq,X Sq SUM,df,p VAL
9/28/2009,7,22,32,33,34,36,,1,80,74,0.486486486,32.45945946,39,0.761110119
10/1/2009,6,12,15,16,32,36,,2,74,,0,,,
10/5/2009,7,19,22,24,34,35,,3,67,,0.662162162,,,
10/8/2009,6,7,21,25,26,29,,4,94,,5.405405405,,,
10/12/2009,1,4,5,32,34,37,,5,69,,0.337837838,,,
10/15/2009,1,16,29,35,39,40,,6,74,,0,,,
10/19/2009,1,2,16,23,24,25,,7,60,,2.648648649,,,
10/22/2009,11,23,24,33,36,37,,8,69,,0.337837838,,,
10/26/2009,3,9,18,23,25,37,,9,67,,0.662162162,,,
10/29/2009,3,10,12,19,21,40,,10,78,,0.216216216,,,
11/2/2009,7,10,25,29,37,38,,11,81,,0.662162162,,,
11/5/2009,4,12,14,29,32,35,,12,76,,0.054054054,,,
11/9/2009,1,4,13,14,17,24,,13,68,,0.486486486,,,
11/12/2009,8,10,15,20,28,36,,14,74,,0,,,
11/16/2009,6,16,29,36,37,40,,15,69,,0.337837838,,,
11/19/2009,4,14,16,23,29,38,,16,74,,0,,,
11/23/2009,8,13,18,19,32,38,,17,82,,0.864864865,,,
11/26/2009,6,13,26,27,33,40,,18,80,,0.486486486,,,
11/30/2009,3,16,19,23,25,30,,19,76,,0.054054054,,,
12/3/2009,9,20,27,30,33,35,,20,68,,0.486486486,,,
12/7/2009,6,16,17,34,35,37,,21,63,,1.635135135,,,
12/10/2009,1,6,12,25,27,35,,22,65,,1.094594595,,,
12/14/2009,2,12,31,33,34,38,,23,83,,1.094594595,,,
12/17/2009,1,4,13,14,21,38,,24,85,,1.635135135,,,
12/21/2009,10,15,26,31,34,35,,25,82,,0.864864865,,,
12/24/2009,22,25,26,27,28,39,,26,77,,0.121621622,,,
12/28/2009,7,9,14,16,29,39,,27,67,,0.662162162,,,
12/31/2009,4,24,27,30,33,40,,28,62,,1.945945946,,,
1/4/2010,2,12,14,18,22,26,,29,67,,0.662162162,,,
1/7/2010,4,5,19,31,36,38,,30,73,,0.013513514,,,
1/11/2010,6,7,9,17,34,40,,31,76,,0.054054054,,,
1/14/2010,10,18,23,24,28,33,,32,73,,0.013513514,,,
1/18/2010,6,7,10,11,15,19,,33,70,,0.216216216,,,
1/21/2010,13,14,29,31,32,34,,34,68,,0.486486486,,,
1/25/2010,1,7,12,13,37,38,,35,83,,1.094594595,,,
1/28/2010,2,3,6,11,34,35,,36,66,,0.864864865,,,
2/1/2010,4,8,16,23,27,30,,37,87,,2.283783784,,,
2/4/2010,1,23,24,27,31,36,,38,82,,0.864864865,,,
2/8/2010,4,16,17,24,37,38,,39,88,,2.648648649,,,
2/11/2010,1,2,18,25,27,39,,40,73,,0.013513514,,,
2/15/2010,4,19,24,26,39,40,,,,,,,,
2/18/2010,1,10,15,20,27,29,,,,,,,,
2/22/2010,3,18,19,27,31,35,,,,,,,,
2/25/2010,3,7,12,25,27,39,,,,,,,,
3/1/2010,8,12,19,21,27,39,,,,,,,,
3/4/2010,1,4,5,16,24,33,,,,,,,,
3/8/2010,18,23,27,29,31,36,,,,,,,,
3/11/2010,8,10,16,18,22,34,,,,,,,,
3/15/2010,5,9,11,20,24,37,,,,,,,,
3/18/2010,4,10,11,36,39,40,,,,,,,,
3/22/2010,11,16,19,25,36,39,,,,,,,,
3/25/2010,2,17,20,23,26,27,,,,,,,,
3/29/2010,1,2,21,24,38,39,,,,,,,,
4/1/2010,1,3,4,11,21,31,,,,,,,,
4/5/2010,10,12,15,24,25,29,,,,,,,,
4/8/2010,12,13,14,20,27,29,,,,,,,,
4/12/2010,3,10,17,20,31,32,,,,,,,,
4/15/2010,3,11,13,14,35,40,,,,,,,,
4/19/2010,1,16,19,24,26,37,,,,,,,,
4/22/2010,1,12,16,19,37,38,,,,,,,,
4/26/2010,1,6,9,21,32,39,,,,,,,,
4/29/2010,4,5,8,15,30,33,,,,,,,,
5/3/2010,4,10,23,25,37,40,,,,,,,,
5/6/2010,10,16,28,34,35,38,,,,,,,,
5/10/2010,8,12,19,20,30,39,,,,,,,,
5/13/2010,4,7,27,35,38,39,,,,,,,,
5/17/2010,12,15,25,31,37,40,,,,,,,,
5/20/2010,6,18,25,30,31,39,,,,,,,,
5/24/2010,3,10,24,26,28,35,,,,,,,,
5/27/2010,2,3,12,28,33,37,,,,,,,,
5/31/2010,17,24,35,38,39,40,,,,,,,,
6/3/2010,5,7,8,20,24,33,,,,,,,,
6/7/2010,9,12,18,24,38,40,,,,,,,,
6/10/2010,7,28,32,33,37,38,,,,,,,,
6/14/2010,3,7,21,23,25,38,,,,,,,,
6/17/2010,2,4,14,17,26,30,,,,,,,,
6/21/2010,9,14,19,25,38,39,,,,,,,,
6/24/2010,7,15,20,22,24,27,,,,,,,,
6/28/2010,1,7,9,18,24,39,,,,,,,,
7/1/2010,1,12,14,26,28,32,,,,,,,,
7/5/2010,2,4,18,19,22,31,,,,,,,,
7/8/2010,5,9,10,18,26,36,,,,,,,,
7/12/2010,4,11,16,25,26,34,,,,,,,,
7/15/2010,2,7,11,19,22,29,,,,,,,,
7/19/2010,4,14,15,16,24,33,,,,,,,,
7/22/2010,9,21,26,31,34,35,,,,,,,,
7/26/2010,5,12,16,27,31,37,,,,,,,,
7/29/2010,8,9,14,24,27,38,,,,,,,,
8/2/2010,4,5,6,11,17,20,,,,,,,,
8/5/2010,5,14,18,23,28,38,,,,,,,,
8/9/2010,5,9,17,28,32,34,,,,,,,,
8/12/2010,6,9,13,21,25,32,,,,,,,,
8/16/2010,2,7,17,18,26,35,,,,,,,,
8/19/2010,2,11,14,18,24,38,,,,,,,,
8/23/2010,3,9,12,17,21,27,,,,,,,,
8/26/2010,6,10,11,15,18,38,,,,,,,,
8/30/2010,6,14,21,23,33,37,,,,,,,,
9/2/2010,15,17,22,23,35,37,,,,,,,,
9/6/2010,10,29,30,31,33,34,,,,,,,,
9/9/2010,18,26,30,31,36,40,,,,,,,,
9/13/2010,6,10,12,17,25,36,,,,,,,,
9/16/2010,2,9,13,15,26,31,,,,,,,,
9/20/2010,2,8,19,26,35,37,,,,,,,,
9/23/2010,3,19,27,28,32,33,,,,,,,,
9/27/2010,2,8,11,13,27,39,,,,,,,,
9/30/2010,7,23,24,30,33,35,,,,,,,,
10/4/2010,4,14,18,28,31,36,,,,,,,,
10/7/2010,4,10,13,21,22,38,,,,,,,,
10/11/2010,16,21,25,34,35,36,,,,,,,,
10/14/2010,1,14,16,21,26,27,,,,,,,,
10/18/2010,9,15,24,32,35,37,,,,,,,,
10/21/2010,6,8,11,23,31,35,,,,,,,,
10/25/2010,2,4,20,24,28,33,,,,,,,,
10/28/2010,14,15,17,18,22,34,,,,,,,,
11/1/2010,2,18,20,22,31,32,,,,,,,,
11/4/2010,2,8,17,24,27,28,,,,,,,,
11/8/2010,17,19,30,31,39,40,,,,,,,,
11/11/2010,2,30,31,32,35,36,,,,,,,,
11/15/2010,4,13,23,28,29,33,,,,,,,,
11/18/2010,7,8,11,17,18,23,,,,,,,,
11/22/2010,12,14,19,22,28,30,,,,,,,,
11/25/2010,1,3,4,6,18,21,,,,,,,,
11/29/2010,5,7,11,22,25,32,,,,,,,,
12/2/2010,1,4,9,28,33,34,,,,,,,,
12/6/2010,19,23,24,31,36,38,,,,,,,,
12/9/2010,1,16,28,31,36,39,,,,,,,,
12/13/2010,5,8,26,31,33,34,,,,,,,,
12/16/2010,10,18,19,21,37,40,,,,,,,,
12/20/2010,12,18,19,23,25,30,,,,,,,,
12/23/2010,4,7,8,19,24,40,,,,,,,,
12/27/2010,3,6,12,15,24,35,,,,,,,,
12/30/2010,17,23,30,36,37,40,,,,,,,,
1/3/2011,4,14,15,18,28,40,,,,,,,,
1/6/2011,12,15,17,20,27,35,,,,,,,,
1/10/2011,7,12,13,25,30,33,,,,,,,,
1/13/2011,11,12,20,24,31,36,,,,,,,,
1/17/2011,15,26,29,30,37,39,,,,,,,,
1/20/2011,12,13,20,32,35,38,,,,,,,,
1/24/2011,2,5,10,11,31,38,,,,,,,,
1/27/2011,6,14,22,29,33,35,,,,,,,,
1/31/2011,2,5,9,30,39,40,,,,,,,,
2/3/2011,13,16,17,23,28,31,,,,,,,,
2/7/2011,1,5,11,15,23,25,,,,,,,,
2/10/2011,6,18,19,21,30,38,,,,,,,,
2/14/2011,2,12,13,16,25,26,,,,,,,,
2/17/2011,11,18,24,26,28,38,,,,,,,,
2/21/2011,10,27,30,38,39,40,,,,,,,,
2/24/2011,3,4,10,14,25,30,,,,,,,,
2/28/2011,2,13,17,21,26,31,,,,,,,,
3/3/2011,9,12,19,24,25,33,,,,,,,,
3/7/2011,1,9,17,21,30,35,,,,,,,,
3/10/2011,4,6,23,24,31,34,,,,,,,,
3/14/2011,5,8,13,15,25,30,,,,,,,,
3/17/2011,1,6,9,29,30,33,,,,,,,,
3/21/2011,3,20,24,26,29,33,,,,,,,,
3/24/2011,7,14,23,26,32,37,,,,,,,,
3/28/2011,9,18,20,27,35,36,,,,,,,,
3/31/2011,10,13,20,21,34,39,,,,,,,,
4/4/2011,2,9,13,24,26,37,,,,,,,,
4/7/2011,19,22,24,25,34,38,,,,,,,,
4/11/2011,5,9,26,29,32,39,,,,,,,,
4/14/2011,4,12,15,25,36,38,,,,,,,,
4/18/2011,16,17,22,27,29,35,,,,,,,,
4/21/2011,19,24,32,35,36,40,,,,,,,,
4/25/2011,6,19,24,28,33,36,,,,,,,,
4/28/2011,1,2,12,19,23,28,,,,,,,,
5/2/2011,19,22,27,31,36,38,,,,,,,,
5/5/2011,2,8,20,29,31,35,,,,,,,,
5/9/2011,4,16,17,23,25,35,,,,,,,,
5/12/2011,8,21,27,30,31,40,,,,,,,,
5/16/2011,2,4,21,30,33,35,,,,,,,,
5/19/2011,10,14,33,34,36,37,,,,,,,,
5/23/2011,5,9,18,27,30,39,,,,,,,,
5/26/2011,18,23,24,32,34,35,,,,,,,,
5/30/2011,3,4,17,22,23,28,,,,,,,,
6/2/2011,2,11,15,29,31,37,,,,,,,,
