M Win Num 1,M Win Num 2,M Win Num 3,M Win Num 4,M Win Num 5
3,12,19,26,28
13,14,21,28,33
10,17,31,34,35
9,14,16,32,33
3,15,28,31,38
1,6,32,36,38
9,15,29,31,36
8,21,25,35,37
3,12,21,27,39
3,12,14,19,28
1,9,12,15,19
12,16,26,31,33
4,5,10,12,21
4,9,18,23,35
4,5,20,33,35
4,9,11,14,24
8,14,17,20,25
6,9,18,27,39
4,5,9,25,31
13,21,27,37,39
4,8,10,11,37
12,16,23,29,38
5,7,9,20,31
13,19,27,37,39
3,28,29,37,38
17,26,27,36,39
3,20,32,37,39
1,23,26,28,34
3,6,26,31,34
9,15,16,28,39
9,16,17,18,25
5,6,8,18,38
4,8,9,18,33
5,19,25,29,33
3,10,14,30,37
4,11,25,28,34
1,17,18,25,29
10,11,21,31,39
6,7,19,21,37
4,6,19,33,35
2,8,11,12,37
3,6,14,27,38
4,16,18,32,34
3,6,12,18,27
5,18,19,20,35
4,7,11,16,21
17,24,27,33,37
2,20,27,34,37
10,12,17,18,19
11,13,20,24,33
7,8,9,12,26
11,15,25,26,31
10,23,32,33,39
8,12,13,14,39
3,12,18,23,36
22,25,29,30,37
9,16,26,27,32
1,2,16,27,28
1,3,18,31,38
1,2,13,22,38
5,6,15,25,29
7,8,10,21,22
2,16,31,33,37
11,15,20,26,30
2,23,25,33,37
12,21,23,27,33
1,5,11,15,19
6,12,19,22,34
4,6,8,9,33
9,12,20,23,25
4,16,20,28,32
10,11,20,22,29
2,7,28,29,38
5,11,27,29,33
4,16,24,31,38
8,14,26,27,33
4,18,21,23,37
3,4,5,8,33
3,16,20,32,38
1,2,7,16,30
15,22,30,33,35
26,27,31,36,39
1,12,17,26,37
19,29,33,36,38
18,19,22,24,38
2,20,29,35,37
6,9,10,11,25
13,23,35,38,39
1,5,9,13,26
12,14,26,36,37
16,19,22,24,34
6,9,19,20,28
1,14,22,29,31
6,8,17,26,29
14,15,19,31,39
2,3,19,20,38
3,6,16,20,29
2,4,13,25,38
13,16,18,28,31
1,6,25,26,30
3,5,10,36,38
2,12,18,28,36
7,10,15,25,27
1,19,20,27,33
8,19,29,34,39
8,9,19,21,31
2,3,15,19,25
3,10,13,22,39
16,20,25,33,38
6,10,28,35,38
9,14,16,27,33
2,5,12,14,22
2,5,10,17,30
2,6,20,37,39
2,8,15,21,22
11,12,23,24,37
14,18,19,23,27
3,17,18,24,32
1,2,3,12,27
7,12,31,33,35
1,2,8,31,38
5,7,8,33,37
7,8,15,21,37
4,5,7,13,25
9,22,26,37,38
6,13,27,28,31
4,25,29,34,38
1,2,23,27,35
7,8,16,24,25
7,15,21,23,39
5,10,13,35,36
1,11,14,25,26
1,3,4,16,32
6,13,19,28,35
3,10,14,23,38
9,10,22,26,28
3,15,20,22,25
8,25,32,38,39
10,11,13,28,38
1,11,21,27,38
4,6,8,12,33
3,26,29,30,32
7,12,13,14,17
4,9,15,29,38
2,4,8,21,27
11,17,29,33,36
2,6,18,28,34
3,7,14,19,24
19,27,30,33,39
3,12,15,16,28
2,11,14,15,24
18,19,20,28,38
5,6,23,34,39
14,23,29,37,38
17,27,35,37,38
3,4,6,18,35
1,10,15,30,31
2,5,7,34,38
12,15,17,34,38
5,9,15,24,37
2,17,25,27,34
8,16,21,31,38
1,8,14,27,32
1,10,15,20,21
8,15,19,21,32
6,7,21,24,28
2,6,27,28,38
8,12,16,22,25
15,17,20,26,27
6,13,15,18,24
7,17,24,27,33
10,14,25,26,30
16,19,28,33,35
10,12,16,23,27
6,23,24,26,38
12,13,15,19,34
3,15,24,28,33
2,7,20,22,36
10,28,30,34,35
10,15,17,29,32
1,14,15,19,21
1,9,20,31,36
4,10,12,26,30
4,26,29,30,33
7,16,19,25,29
15,22,23,32,36
1,4,7,11,36
16,17,30,31,32
5,10,25,29,31
5,12,14,15,16
19,26,28,30,34
8,16,23,28,34
9,20,26,28,37
9,18,29,31,37
3,18,19,23,39
2,6,21,31,36
5,7,25,29,37
13,17,26,27,39
6,8,17,19,21
8,21,22,26,32
2,7,8,14,15
13,19,31,35,38
5,10,13,35,38
5,8,21,35,36
4,10,17,31,32
2,17,23,26,31
8,14,23,27,39
4,12,16,25,32
3,6,7,20,21
8,10,20,26,35
1,9,13,22,26
9,14,21,29,35
4,15,22,24,31
14,21,25,30,38
9,10,30,31,34
3,4,8,14,26
10,12,13,23,25
7,9,29,31,35
10,14,37,38,39
1,3,11,19,31
9,10,33,37,39
23,24,26,29,30
1,2,9,11,19
1,8,10,16,31
8,14,18,31,34
11,27,32,34,36
1,9,18,26,32
5,8,22,26,39
1,23,25,38,39
2,18,20,25,32
17,19,32,33,36
10,24,28,31,38
2,9,12,19,28
6,8,12,17,32
2,24,26,34,37
1,23,25,32,36
21,30,34,36,37
3,19,25,34,37
7,14,16,27,35
5,12,20,35,38
11,12,33,37,38
4,6,14,32,34
11,19,23,31,32
1,13,21,25,30
3,5,20,23,29
10,11,15,31,35
7,10,34,38,39
7,23,29,31,39
3,12,18,29,36
18,26,32,34,35
8,22,26,32,35
3,7,15,17,22
1,16,32,37,39
4,6,16,27,36
4,10,12,19,32
2,18,28,33,36
4,10,28,34,38
6,13,31,36,39
1,2,4,31,38
6,17,23,25,38
1,15,20,28,35
12,27,31,32,34
15,21,22,36,37
5,8,22,31,32
17,18,22,27,38
2,7,12,30,35
12,16,24,26,34
1,3,9,19,23
6,11,18,19,38
2,5,8,15,21
14,17,19,23,30
9,12,18,28,39
1,12,19,24,34
11,14,18,33,36
1,2,5,12,31
16,21,25,34,36
1,4,10,16,27
20,23,24,25,35
7,10,15,24,28
13,14,23,24,33
8,13,16,26,37
20,22,24,25,37
10,27,28,34,39
11,25,27,33,38
2,11,15,34,35
10,12,15,18,21
5,18,31,37,39
10,11,15,18,33
16,20,23,32,33
2,6,10,20,26
3,7,19,22,28
1,6,26,28,33
11,14,28,33,38
6,11,23,25,35
4,16,17,24,25
4,10,24,30,37
11,14,15,23,31
8,12,18,27,38
3,20,24,32,34
1,8,13,25,33
8,21,23,26,30
8,12,20,23,38
6,7,12,32,37
6,17,20,27,31
10,21,30,31,36
2,14,27,28,33
1,4,6,15,20
9,11,23,24,35
2,9,20,33,35
15,27,30,31,35
5,18,23,28,33
5,7,15,22,36
7,14,30,37,38
8,19,21,29,37
13,18,23,24,26
11,16,22,32,39
9,11,24,30,34
8,16,17,31,37
17,18,21,29,32
10,15,17,19,25
1,8,29,36,38
8,14,19,27,35
13,21,23,34,39
1,20,21,33,34
1,2,7,30,39
2,4,7,19,21
15,16,18,28,33
1,12,14,21,22
4,10,27,32,35
9,24,28,35,39
2,12,16,22,36
3,14,21,26,34
18,32,33,34,39
10,12,25,31,33
1,11,18,22,38
3,33,34,35,36
5,18,27,28,36
22,30,32,37,39
1,7,9,18,26
19,25,31,32,37
5,15,20,21,26
11,18,23,24,34
1,7,8,13,39
3,4,22,33,36
12,13,14,27,29
2,6,11,26,33
6,11,12,18,25
8,12,16,21,27
8,9,19,37,39
9,21,24,26,34
5,8,29,31,37
4,11,12,13,23
6,10,13,19,20
1,5,12,22,24
9,18,22,23,28
19,28,31,35,36
5,13,15,17,35
4,22,25,32,33
6,16,25,26,30
1,2,6,19,26
1,8,15,26,35
8,12,17,26,36
7,16,20,28,34
