E Win Num 1,E Win Num 2,E Win Num 3,E Win Num 4,E Win Num 5
2,5,10,15,18
6,26,28,34,38
11,12,13,19,36
18,25,26,33,34
4,24,31,32,33
17,25,29,32,33
9,10,13,34,38
1,4,14,18,19
9,14,25,29,34
3,20,21,33,37
2,7,14,18,25
5,15,16,32,34
8,18,20,26,32
2,3,7,9,38
3,8,9,17,33
6,32,35,36,39
10,11,16,20,34
8,10,14,20,23
4,18,25,28,36
2,4,10,18,36
4,18,22,36,38
9,13,15,28,34
12,13,19,25,28
5,15,21,25,32
2,15,22,24,32
14,26,28,29,34
10,18,23,26,33
5,9,16,27,29
7,11,29,30,34
2,7,11,34,38
5,6,17,24,37
3,11,27,37,39
4,6,10,14,38
2,8,10,23,32
10,15,16,29,37
3,7,24,32,38
7,9,22,28,33
1,4,7,20,29
11,17,18,20,25
16,22,23,31,35
7,28,30,34,38
2,17,22,26,29
23,27,34,38,39
2,10,13,25,30
15,26,29,30,35
7,13,14,24,25
2,19,23,24,37
1,2,12,25,26
9,19,27,33,34
6,7,12,13,14
11,27,32,36,38
10,11,17,18,29
1,8,10,13,18
6,16,23,30,32
7,11,21,24,32
1,15,20,25,34
12,19,25,35,38
4,7,10,16,33
12,19,23,25,26
1,10,19,22,35
2,6,11,31,35
2,4,11,34,36
3,15,19,31,32
3,12,21,24,32
4,15,27,30,35
3,6,23,37,39
1,12,21,36,39
12,26,35,36,38
7,23,25,34,36
16,21,22,23,38
7,8,11,12,14
9,12,19,21,30
6,19,25,28,38
12,13,22,24,34
11,15,22,23,34
10,12,13,17,28
5,7,12,17,39
10,12,18,23,34
4,13,21,27,34
10,11,18,24,38
10,15,28,36,38
11,13,20,23,28
5,17,24,31,32
7,11,14,30,39
10,11,24,36,39
6,11,15,25,29
4,6,12,15,23
12,24,25,35,38
1,2,7,11,29
11,12,13,15,26
2,11,16,17,37
3,13,27,31,38
15,16,31,34,35
17,20,27,30,39
4,14,15,22,27
1,11,17,27,30
3,9,26,33,34
3,8,9,23,34
4,18,19,29,38
4,13,20,25,35
7,13,28,29,35
12,35,24,25,19
5,8,16,23,24
2,9,20,21,25
11,21,22,28,31
3,7,22,27,36
22,25,29,33,35
8,21,34,36,37
4,18,28,31,35
2,5,25,32,36
11,21,22,27,35
10,12,22,23,28
4,17,18,25,35
2,7,21,26,28
3,7,8,14,15
7,11,23,27,35
19,22,23,28,36
2,5,30,31,37
6,15,18,20,26
2,4,12,16,22
9,15,19,26,36
1,5,6,16,24
11,12,29,32,36
7,11,22,31,38
12,14,25,32,38
6,7,10,16,27
14,22,26,34,39
7,8,17,20,27
13,18,25,36,38
2,5,8,12,18
14,25,27,30,39
3,15,19,31,35
6,15,24,30,31
7,12,16,24,38
9,21,22,26,28
4,6,8,19,26
12,19,30,32,34
3,8,17,18,28
3,18,27,38,39
2,16,17,26,36
1,8,13,19,37
14,20,26,30,39
2,6,9,10,32
8,15,30,31,33
1,22,27,33,35
8,9,11,13,36
17,23,28,31,39
4,8,14,26,37
18,29,31,33,39
20,24,31,33,35
5,12,14,34,39
4,9,30,36,38
14,17,18,21,28
11,13,28,31,32
14,25,29,30,37
10,20,23,32,38
3,6,9,28,39
9,12,16,19,24
8,16,31,33,39
7,15,27,28,38
3,18,19,28,38
5,15,17,26,28
8,12,15,26,32
10,19,23,32,39
10,16,24,32,33
6,8,26,32,34
11,18,24,31,39
2,3,9,27,38
2,4,25,27,39
14,15,19,23,35
5,10,11,17,24
5,16,20,35,36
19,23,25,26,39
1,6,9,10,38
2,5,10,15,26
3,14,25,27,35
11,18,21,32,34
2,5,20,26,30
7,17,19,27,29
6,15,23,29,31
7,9,13,17,37
9,25,27,34,38
14,18,20,38,39
4,6,7,8,37
14,26,29,31,39
6,9,29,32,36
19,20,23,27,28
10,27,28,32,37
9,10,20,24,37
14,20,21,24,26
10,20,24,25,36
14,16,20,26,33
5,14,25,26,32
13,15,22,35,37
5,9,22,29,32
4,5,20,30,35
2,9,27,33,34
9,24,25,28,38
5,8,19,22,24
15,16,22,26,39
6,10,21,33,38
8,9,30,32,39
1,5,19,22,38
9,14,26,28,31
13,24,26,34,37
2,23,26,30,39
7,15,17,30,37
7,10,17,23,30
6,9,14,17,23
1,15,18,20,36
3,11,16,34,36
2,9,17,19,26
15,16,19,28,37
2,8,14,25,37
4,16,21,32,38
14,19,32,35,37
11,19,23,24,37
3,14,15,25,31
1,3,6,24,26
5,13,27,34,36
18,20,31,35,36
5,8,9,10,30
5,28,32,33,39
5,8,13,34,38
6,21,28,30,36
14,15,22,24,26
2,12,20,32,39
7,23,26,31,35
3,6,27,38,39
5,23,24,27,39
1,7,14,29,36
10,19,25,34,37
3,15,20,31,37
9,12,25,32,39
4,8,26,32,38
4,5,6,18,33
1,5,30,35,39
3,5,20,23,37
10,19,20,22,33
3,6,25,27,36
1,2,12,18,37
9,11,15,20,26
5,6,14,34,36
19,21,29,30,32
1,6,12,17,20
11,25,29,30,39
3,17,30,31,34
7,15,18,25,36
8,13,28,30,36
13,15,27,28,38
11,13,19,21,31
5,17,20,23,26
20,29,34,37,38
1,10,14,26,33
6,8,9,26,33
12,26,30,35,37
11,22,26,33,35
8,13,17,20,22
12,22,31,34,37
2,4,8,17,28
4,5,13,22,23
8,9,13,14,17
9,11,13,14,38
7,13,18,25,35
1,10,12,15,25
14,23,24,26,30
2,26,29,35,36
4,9,21,29,33
2,13,15,21,24
